x,y
51.495899,76.4
35.553291,91
45.769352,98.5
62.743938,67.6
26.668707,54.9
42.083092,101.9
42.100475,53.1
42.637047,79.9
41.643211,83.9
32.515541,87.2
35.10413,41.2
29.406132,49.4
43.562168,87.3
54.386276,154.1
50.619568,56.1
20.322079,71.9
56.125122,52.3
52.802269,48.8
39.4673,55.4
46.529728,58.6
51.488628,124
20.636181,21.7
44.659809,86.6
39.841537,54
48.096764,149.9
33.915615,53
31.476944,52.6
29.216726,51.7
40.112064,58.4
41.112835,65.6
48.533794,91.4
44.696388,94.1
25,60.1
51.316002,73.3
50.017204,89.8
